Number,Title,AcceptanceRate,Difficulty,Frequency
380,Insert Delete GetRandom O(1),51.5%,Medium,0.35454501768090746
383,Ransom Note,56.0%,Easy,0.15180601286800416
387,First Unique Character in a String,57.3%,Easy,0.3080150318071775
389,Find the Difference,60.5%,Easy,0.09396579241833143
394,Decode String,56.5%,Medium,0.49995595152908684
400,Nth Digit,33.6%,Medium,1.319100626967284
410,Split Array Largest Sum,52.3%,Hard,0.17745536714278173
412,Fizz Buzz,67.0%,Easy,0.10724553035359762
416,Partition Equal Subset Sum,46.5%,Medium,0.0593646090496058
419,Battleships in a Board,73.8%,Medium,0.21357410029805904
438,Find All Anagrams in a String,48.4%,Medium,0.24031279986563278
442,Find All Duplicates in an Array,72.6%,Medium,0.2851014258582893
443,String Compression,47.7%,Medium,1.3128078350224484
448,Find All Numbers Disappeared in an Array,59.2%,Easy,0.060994512702841945
451,Sort Characters By Frequency,67.9%,Medium,0.14465605390747982
452,Minimum Number of Arrows to Burst Balloons,53.0%,Medium,0.27193371548364176
455,Assign Cookies,50.7%,Easy,0.40732557376108414
456,132 Pattern,32.4%,Medium,0.17904823144898546
474,Ones and Zeroes,46.5%,Medium,0.401795379219202
476,Number Complement,66.8%,Easy,0.31508104663989533
485,Max Consecutive Ones,55.2%,Easy,0.04450122467051005
508,Most Frequent Subtree Sum,63.1%,Medium,0.39730179746900346
516,Longest Palindromic Subsequence,59.6%,Medium,0.1093985944071066
518,Coin Change 2,57.9%,Medium,0.07593779883079804
523,Continuous Subarray Sum,27.4%,Medium,0.24051445830531853
525,Contiguous Array,46.4%,Medium,0.245122458032985
532,K-diff Pairs in an Array,40.3%,Medium,0.20909179785855941
540,Single Element in a Sorted Array,58.7%,Medium,0.11091689784318418
547,Number of Provinces,62.7%,Medium,0.13138400282910845
557,Reverse Words in a String III,79.1%,Easy,0.05436120921888738
560,Subarray Sum Equals K,44.2%,Medium,0.2249582508746192
567,Permutation in String,44.5%,Medium,0.15811954475308387
609,Find Duplicate File in System,63.8%,Medium,0.6690496289808848
632,Smallest Range Covering Elements from K Lists,58.8%,Hard,0.4013413909243023
636,Exclusive Time of Functions,60.5%,Medium,0.322773392263051
680,Valid Palindrome II,39.4%,Easy,0.1417462887434142
690,Employee Importance,64.3%,Medium,0.2876820724517809
692,Top K Frequent Words,54.5%,Medium,0.2694761079552085
695,Max Area of Island,70.0%,Medium,0.10450335525513373
697,Degree of an Array,55.7%,Easy,0.5049690916532777
721,Accounts Merge,56.0%,Medium,0.33774693405321354
722,Remove Comments,37.5%,Medium,1.156673831221458
724,Find Pivot Index,51.9%,Easy,0.19085204667768627
735,Asteroid Collision,44.3%,Medium,0.14008879317068168
759,Employee Free Time,71.2%,Hard,0.6716409753389817
428,Serialize and Deserialize N-ary Tree,64.5%,Hard,1.5637675152498414
772,Basic Calculator III,47.7%,Hard,0.8329707824832039
704,Binary Search,55.2%,Easy,0.04708136343196742
778,Swim in Rising Water,59.0%,Hard,0.19966567025192705
784,Letter Case Permutation,72.6%,Medium,0.13443026908953976
787,Cheapest Flights Within K Stops,35.9%,Medium,0.18306532774679926
796,Rotate String,52.6%,Easy,0.18400364297693944
798,Smallest Rotation with Highest Score,48.4%,Hard,1.1281470394638933
706,Design HashMap,65.2%,Easy,0.4096756406445079
814,Binary Tree Pruning,70.9%,Medium,0.7939744194802604
622,Design Circular Queue,48.8%,Medium,0.3429447511268304
849,Maximize Distance to Closest Person,47.4%,Medium,0.291910408561302
852,Peak Index in a Mountain Array,70.1%,Easy,0.10064352577968744
875,Koko Eating Bananas,54.4%,Medium,0.09763846956391599
876,Middle of the Linked List,72.8%,Easy,0.022397352813025406
881,Boats to Save People,52.5%,Medium,0.29626581614317243
894,All Possible Full Binary Trees,79.5%,Medium,0.36772478012531734
895,Maximum Frequency Stack,66.5%,Hard,1.2065402114645776
904,Fruit Into Baskets,42.7%,Medium,0.1157359520346586
938,Range Sum of BST,85.1%,Easy,0.20067069546215116
946,Validate Stack Sequences,67.6%,Medium,0.3746934494414107
509,Fibonacci Number,68.3%,Easy,0.2235610007045341
979,Distribute Coins in Binary Tree,71.7%,Medium,0.3308542443169896
997,Find the Town Judge,49.7%,Easy,0.11778303565638346
1009,Complement of Base 10 Integer,62.2%,Easy,0.4508337131380154
1010,Pairs of Songs With Total Durations Divisible by 60,53.5%,Medium,0.20479441264601322
1011,Capacity To Ship Packages Within D Days,63.7%,Medium,0.1603426500751794
1061,Lexicographically Smallest Equivalent String,69.5%,Medium,0.9070288382468686
1044,Longest Duplicate Substring,31.0%,Hard,0.5623075796011341
1094,Car Pooling,58.0%,Medium,0.2124355370417375
1108,Defanging an IP Address,89.1%,Easy,0.10969891725642447
1111,Maximum Nesting Depth of Two Valid Parentheses Strings,73.2%,Medium,1.0058135953226146
1291,Sequential Digits,60.9%,Medium,0.5108256237659907
1302,Deepest Leaves Sum,87.1%,Medium,0.19290366612449156
1207,Unique Number of Occurrences,71.9%,Easy,0.4825218476031389
1209,Remove All Adjacent Duplicates in String II,56.2%,Medium,0.35667494393873234
1266,Minimum Time Visiting All Points,79.1%,Easy,0.666478933477784
1352,Product of the Last K Numbers,48.2%,Medium,0.3746934494414107
1446,Consecutive Characters,61.9%,Easy,0.6563976383512038
1463,Cherry Pickup II,70.7%,Hard,0.3856624808119847
1470,Shuffle the Array,88.4%,Easy,0.10008345855698253
1523,Count Odd Numbers in an Interval Range,47.0%,Easy,0.05202733732865476
1689,Partitioning Into Minimum Number Of Deci-Binary Numbers,87.8%,Medium,0.33647223662121295
1910,Remove All Occurrences of a Substring,72.3%,Medium,0.3308542443169896
1920,Build Array from Permutation,91.6%,Easy,0.3228785170988903
2042,Check if Numbers Are Ascending in a Sentence,67.4%,Easy,0.4321333551903257
